r,theta_over_pi,theta,n,symmetric,max_abs_imag,method,matvecs,converged,diverged,residual,speedup,predicted_speedup,mu_subdominant,mu_dominant,theory_diverges,beta,backtracks
0.85,0.2,0.6283185307179586,81,False,0.49961746444860217,dynamic_safe,347,True,False,9.036292091456586e-13,0.4899135446685879,3.603774859645975,0.8613666471020262,0.7633913438213185,True,0.18062499999999998,6
0.85,0.3,0.9424777960769379,81,False,0.6876644452187053,power,173,True,False,8.71499083425703e-13,1.0,3.603774859645975,0.9538915661582854,0.7633913438213185,True,0.18062499999999998,0
0.85,0.3,0.9424777960769379,81,False,0.6876644452187053,static,1002,False,True,0.6876644452187053,,3.603774859645975,0.9538915661582854,0.7633913438213185,True,0.18062499999999998,0
0.85,0.3,0.9424777960769379,81,False,0.6876644452187053,dynamic,1003,False,True,0.6425434704013487,,3.603774859645975,0.9538915661582854,0.7633913438213185,True,0.18062499999999998,0
0.85,0.3,0.9424777960769379,81,False,0.6876644452187053,dynamic_safe,406,True,False,1.1471950882151859e-12,0.42610837438423643,3.603774859645975,0.9538915661582854,0.7633913438213185,True,0.18062499999999998,8
0.85,0.4,1.2566370614359172,81,False,0.8083980388508805,power,174,True,False,9.530435803099306e-13,1.0,3.603774859645975,1.0081099925865504,0.7633913438213185,True,0.18062499999999998,0
0.85,0.4,1.2566370614359172,81,False,0.8083980388508805,static,1002,False,True,0.8083980388508807,,3.603774859645975,1.0081099925865504,0.7633913438213185,True,0.18062499999999998,0
0.85,0.4,1.2566370614359172,81,False,0.8083980388508805,dynamic,1003,False,True,0.7287336342280017,,3.603774859645975,1.0081099925865504,0.7633913438213185,True,0.18062499999999998,0
0.85,0.4,1.2566370614359172,81,False,0.8083980388508805,dynamic_safe,422,True,False,9.543374370196745e-13,0.41232227488151657,3.603774859645975,1.0081099925865504,0.7633913438213185,True,0.18062499999999998,8
0.85,0.5,1.5707963267948966,81,False,0.85,power,175,True,False,9.716971694981747e-13,1.0,3.603774859645975,1.0260407640085654,0.7633913438213185,True,0.18062499999999998,0
0.85,0.5,1.5707963267948966,81,False,0.85,static,1002,False,True,0.8499999999999999,,3.603774859645975,1.0260407640085654,0.7633913438213185,True,0.18062499999999998,0
0.85,0.5,1.5707963267948966,81,False,0.85,dynamic,1003,False,True,0.768883733617009,,3.603774859645975,1.0260407640085654,0.7633913438213185,True,0.18062499999999998,0
0.85,0.5,1.5707963267948966,81,False,0.85,dynamic_safe,440,True,False,9.982476466300373e-13,0.3977272727272727,3.603774859645975,1.0260407640085654,0.7633913438213185,True,0.18062499999999998,8
0.9,0.0,0.0,81,True,0.0,power,245,True,False,9.67585506797028e-13,1.0,4.433779629746542,0.45000000000000007,0.7179449471770336,False,0.2025,0
0.9,0.0,0.0,81,True,0.0,static,64,True,False,9.977098214683957e-13,3.828125,4.433779629746542,0.45000000000000007,0.7179449471770336,False,0.2025,0
0.9,0.0,0.0,81,True,0.0,dynamic,78,True,False,7.070661627876935e-13,3.141025641025641,4.433779629746542,0.45000000000000007,0.7179449471770336,False,0.2025,0
